species,fishbase_file,bishop_file,is_duplicate,reviewed_at,notes
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_ua.jpg,Chaetodon_melapterus_Bishop_690928567.jpg,no,2026-02-05T12:33:18.253183,
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_u9.jpg,Chaetodon_melapterus_Bishop_-738901426.jpg,no,2026-02-05T12:34:51.042494,
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_u2.jpg,Chaetodon_melapterus_Bishop_690928567.jpg,no,2026-02-05T12:37:39.638759,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u3.jpg,Chaetodon_mertensii_Bishop_2125964090.jpg,yes,2026-02-05T12:22:59.709150,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u4.jpg,Chaetodon_mertensii_Bishop_992543933.jpg,yes,2026-02-05T12:23:00.551982,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u4.jpg,Chaetodon_mertensii_Bishop_-727881428.jpg,no,2026-02-05T12:26:35.886971,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u4.jpg,Chaetodon_mertensii_Bishop_2125964090.jpg,no,2026-02-05T12:28:36.125616,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u2.jpg,Chaetodon_mertensii_Bishop_1869466931.jpg,yes,2026-02-05T12:30:48.043565,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u3.jpg,Chaetodon_mertensii_Bishop_992543933.jpg,no,2026-02-05T12:30:50.676885,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u2.jpg,Chaetodon_mertensii_Bishop_-727881428.jpg,no,2026-02-05T12:33:19.890590,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u2.jpg,Chaetodon_mertensii_Bishop_992543933.jpg,no,2026-02-05T12:33:22.541095,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u2.jpg,Chaetodon_mertensii_Bishop_2125964090.jpg,no,2026-02-05T12:36:25.726030,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u3.jpg,Chaetodon_mertensii_Bishop_-727881428.jpg,no,2026-02-05T12:36:28.502643,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u3.jpg,Chaetodon_mertensii_Bishop_1869466931.jpg,no,2026-02-05T12:36:30.575837,
Chaetodon mertensii,Chaetodon_mertensii_FishBase_Chmer_u4.jpg,Chaetodon_mertensii_Bishop_1869466931.jpg,no,2026-02-05T12:37:11.109798,
Chaetodon mesoleucos,Chaetodon_mesoleucos_FishBase_Chmes_u0.jpg,Chaetodon_mesoleucos_Bishop_-899095560.jpg,yes,2026-02-05T12:24:05.209671,
Chaetodon mesoleucos,Chaetodon_mesoleucos_FishBase_Chmes_u7.jpg,Chaetodon_mesoleucos_Bishop_-899095560.jpg,no,2026-02-05T12:37:12.305589,
Chaetodon meyeri,Chaetodon_meyeri_FishBase_Chmey_u0.jpg,Chaetodon_meyeri_Bishop_-146742631.jpg,yes,2026-02-05T12:23:01.392689,
Chaetodon miliaris,Chaetodon_miliaris_FishBase_Chmil_u1.jpg,Chaetodon_miliaris_Bishop_1720766063.jpg,yes,2026-02-05T12:24:05.931289,
Chaetodon miliaris,Chaetodon_miliaris_FishBase_Chmil_u2.jpg,Chaetodon_miliaris_Bishop_725437158.jpg,yes,2026-02-05T12:24:31.155985,
